conm,gvkey,fyear,sale,ni,at
FORD MOTOR CO,004839,2019,155900.0000,47.0000,258537.0000
FORD MOTOR CO,004839,2020,127144.0000,-1279.0000,267261.0000
FORD MOTOR CO,004839,2021,136341.0000,17937.0000,257035.0000
FORD MOTOR CO,004839,2022,158057.0000,-1981.0000,255884.0000
FORD MOTOR CO,004839,2023,176191.0000,4347.0000,273310.0000
FORD MOTOR CO,004839,2024,184992.0000,5879.0000,285196.0000
FORD MOTOR CO,004839,2025,187267.0000,-8182.0000,289160.0000
GENERAL MOTORS CO,005073,2019,137237.0000,6732.0000,228037.0000
GENERAL MOTORS CO,005073,2020,122485.0000,6427.0000,235194.0000
GENERAL MOTORS CO,005073,2021,127004.0000,10019.0000,244718.0000
GENERAL MOTORS CO,005073,2022,156735.0000,9934.0000,264037.0000
GENERAL MOTORS CO,005073,2023,171842.0000,10127.0000,273064.0000
GENERAL MOTORS CO,005073,2024,187442.0000,6008.0000,279761.0000
GENERAL MOTORS CO,005073,2025,185019.0000,2697.0000,281284.0000
TESLA INC,184996,2019,24578.0000,-862.0000,34309.0000
TESLA INC,184996,2020,31536.0000,721.0000,52148.0000
TESLA INC,184996,2021,53823.0000,5519.0000,62131.0000
TESLA INC,184996,2022,81462.0000,12556.0000,82338.0000
TESLA INC,184996,2023,96773.0000,14997.0000,106618.0000
TESLA INC,184996,2024,97690.0000,7091.0000,122070.0000
TESLA INC,184996,2025,94827.0000,3794.0000,137806.0000
